,market_ret
2010-12-13,0.0288323994
2010-12-14,0.0014105593
2010-12-15,-0.005351072100000001
2010-12-16,-0.0045599836
2010-12-17,-0.0015175261000000002
2010-12-20,-0.0141076945
2010-12-21,0.0179461996
2010-12-22,-0.0090268464
2010-12-23,-0.007880746400000001
2010-12-24,-0.0070267789999999995
2010-12-27,-0.0189601493
2010-12-28,-0.0174056106
2010-12-29,0.0067826812000000005
2010-12-30,0.0029249213
2010-12-31,0.017575894800000002
2011-01-04,0.015872428
2011-01-05,-0.0049270012
2011-01-06,-0.0050715266
2011-01-07,0.0051710274
2011-01-10,-0.016553467500000002
2011-01-11,0.0043835377
2011-01-12,0.0061546757
2011-01-13,0.0022712894
2011-01-14,-0.0128616306
2011-01-17,-0.0303380737
2011-01-18,0.0008567755
2011-01-19,0.0181315544
2011-01-20,-0.0291668495
2011-01-21,0.0140578387
2011-01-24,-0.0072087958
2011-01-25,-0.0067840873999999995
2011-01-26,0.011720932600000001
2011-01-27,0.014890649600000002
2011-01-28,0.0013094957
2011-01-31,0.0137840341
2011-02-01,0.0029619872
2011-02-09,-0.0088943751
2011-02-10,0.0158965273
2011-02-11,0.0032521185
2011-02-14,0.025397124099999998
2011-02-15,3.55279e-05
2011-02-16,0.008505341199999999
2011-02-17,0.0010492849
2011-02-18,-0.0092833393
2011-02-21,0.0111918372
2011-02-22,-0.0261676544
2011-02-23,0.0024927194
2011-02-24,0.0055784288
2011-02-25,-1.3200799999999999e-05
2011-02-28,0.0092018072
2011-03-01,0.0047734069
2011-03-02,-0.0017513327
2011-03-03,-0.0037167857
2011-03-04,0.0135474675
2011-03-07,0.018320664099999998
2011-03-08,0.0012452394
2011-03-09,0.0007373476
2011-03-10,-0.0149929018
2011-03-11,-0.0078951204
2011-03-14,0.0013058168
2011-03-15,-0.0140831358
2011-03-16,0.0119285036
2011-03-17,-0.0114323578
2011-03-18,0.0033092902000000004
2011-03-21,0.0007743682000000001
2011-03-22,0.0034391643
2011-03-23,0.010049185700000001
2011-03-24,-0.0006006491
2011-03-25,0.010556872699999999
2011-03-28,0.0020790419
2011-03-29,-0.008688993499999999
2011-03-30,-0.0007795605
2011-03-31,-0.0093579645
2011-04-01,0.0134212808
2011-04-06,0.0114409536
2011-04-07,0.0021820108
2011-04-08,0.0073512862
2011-04-11,-0.0024009735
2011-04-12,-0.00045554600000000003
2011-04-13,0.0096078963
2011-04-14,-0.0025449138
2011-04-15,0.0025934757000000003
2011-04-18,0.0022301072
2011-04-19,-0.0190650074
2011-04-20,0.0026661856
2011-04-21,0.0065283533
2011-04-22,-0.0053362311
2011-04-25,-0.0151356063
2011-04-26,-0.008758998
2011-04-27,-0.0046182674
2011-04-28,-0.0131140682
2011-04-29,0.008474758300000001
2011-05-03,0.0071018107
2011-05-04,-0.022567106899999998
2011-05-05,0.0022285283
2011-05-06,-0.0029654603
2011-05-09,0.0029938343
2011-05-10,0.0063269811
2011-05-11,-0.0024956463
2011-05-12,-0.0136424801
2011-05-13,0.0094751103
2011-05-16,-0.0076502135
2011-05-17,0.0013007767
2011-05-18,0.0070100215
2011-05-19,-0.0045938225
2011-05-20,-0.0003899182
2011-05-23,-0.0293479809
2011-05-24,-0.002707808
2011-05-25,-0.0091487126
2011-05-26,-0.0019017113999999999
2011-05-27,-0.0097130414
2011-05-30,-0.0013232731
2011-05-31,0.0137125092
2011-06-01,3.64502e-05
2011-06-02,-0.013993071800000001
2011-06-03,0.008442688299999999
2011-06-07,0.0059676982
2011-06-08,0.0021819772
2011-06-09,-0.0170683943
2011-06-10,0.0006651019
2011-06-13,-0.0017610898999999998
2011-06-14,0.0109840137
2011-06-15,-0.0090141536
2011-06-16,-0.0152094066
2011-06-17,-0.0080565766
2011-06-20,-0.0081598506
2011-06-21,0.009625167799999999
2011-06-22,0.0010723666
2011-06-23,0.0146935762
2011-06-24,0.0215612467
2011-06-27,0.0043765756
2011-06-28,0.00035239989999999997
2011-06-29,-0.0111332914
2011-06-30,0.012311969700000001
2011-07-01,-0.0009825943
2011-07-04,0.0193725941
2011-07-05,0.0012574578
2011-07-06,-0.0020863847
2011-07-07,-0.0057684117
2011-07-08,0.0012550698
2011-07-11,0.001757826
2011-07-12,-0.0171656393
2011-07-13,0.014845809599999999
2011-07-14,0.0053543654
2011-07-15,0.0034603073000000002
2011-07-18,-0.0012343232
2011-07-19,-0.006995805000000001
2011-07-20,-0.000993213
2011-07-21,-0.0101320411
2011-07-22,0.0017701328999999999
2011-07-25,-0.0296103277
2011-07-26,0.005311026
2011-07-27,0.007571514299999999
2011-07-28,-0.00540299
2011-07-29,-0.0026019122
2011-08-01,0.0007602539
2011-08-02,-0.0090702545
2011-08-03,-0.0002888858
2011-08-04,0.0020735602
2011-08-05,-0.021466156
2011-08-08,-0.0379249649
2011-08-09,-0.0002952332
2011-08-10,0.0091470149
2011-08-11,0.0126833141
2011-08-12,0.0045186767
2011-08-15,0.0129559424
2011-08-16,-0.0070824625
2011-08-17,-0.0026474542
2011-08-18,-0.0160649008
2011-08-19,-0.00981218
2011-08-22,-0.0072977062
2011-08-23,0.0151661676
2011-08-24,-0.0050618261
2011-08-25,0.029188250199999998
2011-08-26,-0.0011750260999999998
2011-08-29,-0.0136954155
2011-08-30,-0.0038107244000000003
2011-08-31,0.0002902678
2011-09-01,-0.0044006637
2011-09-02,-0.010861323899999999
2011-09-05,-0.0195947443
2011-09-06,-0.0033141852
2011-09-07,0.0184438605
2011-09-08,-0.0068149391
2011-09-09,-0.0004762013
2011-09-13,-0.0105887171
2011-09-14,0.0054716031
2011-09-15,-0.0023228981
2011-09-16,0.0013263117999999998
2011-09-19,-0.017945948599999997
2011-09-20,0.0040856594
2011-09-21,0.026639921100000002
2011-09-22,-0.0278181573
2011-09-23,-0.0040514814
2011-09-26,-0.0164296702
2011-09-27,0.0091388749
2011-09-28,-0.009520284
2011-09-29,-0.011169861000000001
2011-09-30,-0.0025886309
2011-10-10,-0.0061176999
2011-10-11,0.0015903364
2011-10-12,0.0304379446
2011-10-13,0.0077644628
2011-10-14,-0.0030404421999999996
2011-10-17,0.0037127139999999998
2011-10-18,-0.0233227968
2011-10-19,-0.0025059944000000002
2011-10-20,-0.0194093658
2011-10-21,-0.006044096
2011-10-24,0.0228967214
2011-10-25,0.0165964023
2011-10-26,0.007390217399999999
2011-10-27,0.0033507999999999997
2011-10-28,0.0155180583
2011-10-31,-0.0020861887
2011-11-01,0.0007167021
2011-11-02,0.0138011084
2011-11-03,0.001590187
2011-11-04,0.0080555323
2011-11-07,-0.0073152094
2011-11-08,-0.0023758875
2011-11-09,0.0084202799
2011-11-10,-0.0179740419
